0    0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1    13,18,20,16,22,1112,19,14,22,21,20,1090,30,10,1119,16,16,18,16,22,15,25,16,24,22,25,1120,13,27,1093,18,1128,18,19,21,17,11,18,20,15,23,25,22,22,1123,16,19,22,1095,16,26,17,15,16,16,17,16,21,1098,14,25,9,1121,18,11,1131,22,19,16,18,12,21,23,1105,19,26,16,21,21,15,10,12,22,19,28,24,19,14,26,21,0,0,0,0,0,0,0,0,0,0,
1    15,19,24,22,1926,17,15,13,13,23,16,496932,14,23,17,12,25,18,2000,23,2022,69,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1    18,25,18,21,26,22,18,23,23,15,14,23,496932,20,15,22,14,21,15,1088,112,1116,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2    15,22,23,40,5,16,16,6,25,496932,704494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2    22,13,17,16,24,14,22,18,18,22,3,18965,20,36,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2    17,22,9,19,251325,16,20,12,22,12,19,12,25,13,22,19,25,12,10,23,12,25,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2    21,19,17,21,6,19,28,2022,22,18,21,18,851420,20,1369338,2440253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2    22,22,23,24,20,22,17,28,37,12,16,15,25,18,18,29,27,14,24,22,23,12,27061,18,22,8,11,14,18,25,23,28,46098,21,20,12,12,15,23,13,20,21,21,12,24,19,14,21,2440253,31,15,19,20,30,20,21,16,26,17,20,13,11,29,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3    16,12,21,2014,8,15,15,21,17,22,18,16,19,19,25,747189,17,24,17,17,27,12,25,26,18,30,12,22,11,21,15,23,25,1987,15,16,14,21,9,17,16,14,15,16,17,18,13,23,12,16,15,15,14,15,7,17,20,22,22,27,26,21,18,10,27,18,22,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
