gain	19	1	-131.87
gain	1	20	-109.22
gain	20	1	-108.33
gain	1	21	-95.25
gain	21	1	-96.23
gain	1	22	-103.17
gain	22	1	-101.27
gain	1	23	-113.58
gain	23	1	-115.79
gain	1	24	-117.91
gain	24	1	-119.07
gain	1	25	-118.26
gain	25	1	-118.14
gain	1	26	-122.82
gain	26	1	-122.26
gain	1	27	-129.97
gain	27	1	-129.05
gain	1	28	-130.35
gain	28	1	-128.68
gain	1	29	-132.55
gain	29	1	-133.25
gain	1	30	-110.65
gain	30	1	-110.41
gain	1	31	-113.14
gain	31	1	-113.42
gain	1	32	-113.20
gain	32	1	-114.76
gain	1	33	-109.69
gain	33	1	-109.34
gain	1	34	-123.10
gain	34	1	-123.06
gain	1	35	-122.99
gain	35	1	-121.38
gain	1	36	-120.82
gain	36	1	-119.29
gain	1	37	-122.84
gain	37	1	-123.09
gain	1	38	-131.28
gain	38	1	-131.76
gain	1	39	-135.58
gain	39	1	-133.92
gain	1	40	-116.79
gain	40	1	-116.39
gain	1	41	-115.28
gain	41	1	-114.22
gain	1	42	-121.01
gain	42	1	-120.25
gain	1	43	-120.88
gain	43	1	-119.05
gain	1	44	-122.35
gain	44	1	-120.70
gain	1	45	-122.54
gain	45	1	-123.22
gain	1	46	-125.95
gain	46	1	-125.85
gain	1	47	-131.07
gain	47	1	-130.57
gain	1	48	-126.01
gain	48	1	-125.68
gain	1	49	-134.27
gain	49	1	-133.38
gain	1	50	-123.16
gain	50	1	-122.54
gain	1	51	-119.51
gain	51	1	-119.03
gain	1	52	-116.55
gain	52	1	-116.97
gain	1	53	-121.36
gain	53	1	-120.93
gain	1	54	-126.06
gain	54	1	-126.11
gain	1	55	-128.29
gain	55	1	-127.51
gain	1	56	-126.11
gain	56	1	-126.26
gain	1	57	-130.06
gain	57	1	-129.77
gain	1	58	-131.44
gain	58	1	-131.66
gain	1	59	-135.04
gain	59	1	-134.43
gain	1	60	-125.50
gain	60	1	-125.33
gain	1	61	-126.28
gain	61	1	-127.80
gain	1	62	-120.03
gain	62	1	-119.30
gain	1	63	-128.43
gain	63	1	-127.59
gain	1	64	-129.40
gain	64	1	-129.30
gain	1	65	-125.10
gain	65	1	-124.98
gain	1	66	-127.12
gain	66	1	-126.45
gain	1	67	-132.89
gain	67	1	-131.14
gain	1	68	-129.65
gain	68	1	-128.60
gain	1	69	-137.13
gain	69	1	-136.14
gain	1	70	-121.91
gain	70	1	-122.03
gain	1	71	-122.68
gain	71	1	-120.41
gain	1	72	-130.68
gain	72	1	-130.26
gain	1	73	-125.55
gain	73	1	-125.09
gain	1	74	-134.56
gain	74	1	-132.19
gain	1	75	-128.95
gain	75	1	-129.45
gain	1	76	-130.78
gain	76	1	-129.73
gain	1	77	-134.34
gain	77	1	-135.00
gain	1	78	-137.76
gain	78	1	-137.50
gain	1	79	-139.24
gain	79	1	-139.77
gain	1	80	-130.99
gain	80	1	-130.50
gain	1	81	-131.62
gain	81	1	-129.80
gain	1	82	-129.46
gain	82	1	-128.70
gain	1	83	-135.40
gain	83	1	-136.58
gain	1	84	-136.60
gain	84	1	-135.18
gain	1	85	-135.93
gain	85	1	-137.22
gain	1	86	-137.08
gain	86	1	-137.70
gain	1	87	-133.81
gain	87	1	-132.60
gain	1	88	-137.33
gain	88	1	-136.71
gain	1	89	-140.54
gain	89	1	-140.07
gain	1	90	-131.33
gain	90	1	-130.94
gain	1	91	-134.53
gain	91	1	-134.28
gain	1	92	-129.31
gain	92	1	-131.55
gain	1	93	-132.56
gain	93	1	-131.07
gain	1	94	-142.37
gain	94	1	-142.24
gain	1	95	-138.46
gain	95	1	-137.30
gain	1	96	-135.10
gain	96	1	-134.78
gain	1	97	-134.38
gain	97	1	-130.62
gain	1	98	-134.51
gain	98	1	-133.98
gain	1	99	-139.05
gain	99	1	-138.70
gain	2	3	-70.48
gain	3	2	-71.02
gain	2	4	-91.95
gain	4	2	-92.44
gain	2	5	-113.61
gain	5	2	-113.37
